geo_level,geo_code,area,sex,total,geo_version
district,347,Rural,Male,500211,2011
district,347,Urban,Male,33724,2011
district,348,Rural,Male,293595,2011
district,348,Urban,Male,73627,2011
district,349,Rural,Male,1149608,2011
district,349,Urban,Male,108490,2011
district,350,Rural,Male,638136,2011
district,350,Urban,Male,136886,2011
district,351,Rural,Male,643907,2011
district,351,Urban,Male,34020,2011
district,352,Rural,Male,505892,2011
district,352,Urban,Male,83499,2011
district,353,Rural,Male,418251,2011
district,353,Urban,Male,34410,2011
district,354,Rural,Male,581956,2011
district,354,Urban,Male,824000,2011
district,355,Rural,Male,554954,2011
district,355,Urban,Male,517853,2011
district,356,Rural,Male,203255,2011
district,356,Urban,Male,29374,2011
district,357,Rural,Male,514498,2011
district,357,Urban,Male,662404,2011
district,358,Rural,Male,887551,2011
district,358,Urban,Male,118751,2011
district,359,Rural,Male,342566,2011
district,359,Urban,Male,27100,2011
district,360,Rural,Male,746934,2011
district,360,Urban,Male,143947,2011
district,361,Rural,Male,272167,2011
district,361,Urban,Male,222063,2011
district,362,Rural,Male,620928,2011
district,362,Urban,Male,47586,2011
district,363,Rural,Male,365043,2011
district,363,Urban,Male,39787,2011
district,364,Rural,Male,840528,2011
district,364,Urban,Male,654409,2011
district,365,Rural,Male,243494,2011
district,365,Urban,Male,22841,2011
district,366,Rural,Male,481135,2011
district,366,Urban,Male,33255,2011
district,367,Rural,Male,278425,2011
district,367,Urban,Male,21884,2011
district,368,Rural,Male,637657,2011
district,368,Urban,Male,111728,2011
district,369,Rural,Male,408848,2011
district,369,Urban,Male,135563,2011
state,21,Rural,Male,17586203,2011
state,21,Urban,Male,3625933,2011
district,370,Rural,Male,672603,2011
district,370,Urban,Male,76558,2011
district,371,Rural,Male,176162,2011
district,371,Urban,Male,120528,2011
district,372,Rural,Male,368692,2011
district,372,Urban,Male,158185,2011
district,373,Rural,Male,146666,2011
district,373,Urban,Male,11564,2011
district,374,Rural,Male,676068,2011
district,374,Urban,Male,385079,2011
district,375,Rural,Male,774667,2011
district,375,Urban,Male,131820,2011
district,376,Rural,Male,1157576,2011
district,376,Urban,Male,98637,2011
district,377,Rural,Male,1056466,2011
district,377,Urban,Male,129321,2011
