geo_level,geo_code,area,sex,education,total,geo_version
district,234,Urban,Male,Literate Without Level,4637,2011
district,235,Rural,Male,Literate Without Level,35605,2011
district,235,Urban,Male,Literate Without Level,3235,2011
district,236,Rural,Male,Literate Without Level,83698,2011
district,236,Urban,Male,Literate Without Level,20075,2011
district,237,Rural,Male,Literate Without Level,47384,2011
district,237,Urban,Male,Literate Without Level,3554,2011
district,238,Rural,Male,Literate Without Level,38830,2011
district,238,Urban,Male,Literate Without Level,2717,2011
district,239,Rural,Male,Literate Without Level,20686,2011
district,239,Urban,Male,Literate Without Level,3150,2011
district,240,Rural,Male,Literate Without Level,9093,2011
